doc_id,lemma,supersense,matched_verb,verb_type,sentence
adams1974,rabbit,noun.animal,leave,agency,"The going would be troublesome in the wet , and anyway no self - respecting rabbit could leave without a forage round the sheds ."
adams1974,rabbit,noun.animal,prove,both,"Persuading them will prove nothing , but three or four dead rabbits will prove you 're a fool , when it 's too late ."
adams1974,rabbit,noun.animal,leave,agency,"The going would be troublesome in the wet , and anyway no self - respecting rabbit could leave without a forage round the sheds ."
adams1974,rabbit,noun.animal,prove,both,"Persuading them will prove nothing , but three or four dead rabbits will prove you 're a fool , when it 's too late ."
adams1974,rabbit,noun.animal,leave,agency,"The going would be troublesome in the wet , and anyway no self - respecting rabbit could leave without a forage round the sheds ."
adams1974,rabbit,noun.animal,prove,both,"Persuading them will prove nothing , but three or four dead rabbits will prove you 're a fool , when it 's too late . ”"
adams1974,rabbit,noun.animal,know,agency,“ Surely — ” He stopped as it came over him that these rabbits knew neither lane nor farmyard .
adams1974,cat,noun.animal,leave,agency,"After a good deal of delay , during which the cat left the woodpile and began to move stealthily round toward the side of the shed , Blackberry managed to get them out into the farmyard ."
adams1974,rabbit,noun.animal,do,agency,"It was a very risky one , but I thought there was a chance that it might work , simply because every rabbit in Efrafa usually does what he 's told without question ."
adams1974,rabbit,noun.animal,happen,agency,"How many rabbits has that happened to , I wonder ?"
adams1974,rabbit,noun.animal,tell,experience,"Some rabbits will tell you it 's all easy there , compared with the waking dangers that they understand ."
adams1974,rabbit,noun.animal,express,agency,"Human beings , on occasions of this kind , are usually full of questions , but the rabbits expressed their delight simply by proving to themselves through their senses that this was really Hazel - rah ."
adams1974,rabbit,noun.animal,know,agency,"“ That rabbit with the mutilated ears , ” “ Well , but Hazel - rah must know what 's doing . ”"
adams1974,blade,noun.plant,think,agency,"Not a blade of grass to choose between them , thought Hazel : Pipkin and Fiver looked as fresh as Silver and Bigwig ."
adams1974,rabbit,noun.animal,try,agency,"As far as he knew , no rabbit had ever tried to do what he had in mind ."
adams1974,rabbit,noun.animal,know,agency,What way they went I do n't know and no rabbit knows .
adams1974,dog,noun.animal,do,agency,"' Well , El - ahrairah , ' said the Black Rabbit - and he did not wrinkle his nose up and down when he sniffed , but thrust it forward , as a dog does — my burrow can not be what you are used 66 248 EFRAFA to : but perhaps you have done your best to make yourself comfortable ? “ ' I have , my lord , ' said El - ahrairah ."
adams1974,rabbit,noun.animal,say,agency,They vanished in the night ; and that is why no rabbit who tells the tales of El - ahrairah can say what kind of creatures they were or what they looked like .
adams1974,rabbit,noun.animal,fear,experience,It is true that every rabbit fears the fox and will bolt if it smells one .
adams1974,hawk,noun.animal,say,agency,""" A water hawk ! ” said Fiver ."
adams1974,rabbit,noun.animal,leave,agency,He would allow no rabbit to leave the warren .
adams1974,rabbit,noun.animal,compete,agency,"To feel that rabbits were competing to risk their lives at his orders gratified Woundwort , although he believed — and so did his Council and his Owsla — that he was giving the warren peace and security at a price which was modest enough ."
adams1974,rabbit,noun.animal,choose,both,"He was no fool and it was , he could not help feeling , extremely odd that any right - minded rabbit should choose to walk into Efrafa of his own accord ."
adams1974,rabbit,noun.animal,know,agency,Every rabbit knows which hole he has to use and I should certainly miss any of mine who did n't go down .
adams1974,rabbit,noun.animal,say,agency,"“ I come here for the Mark to see me , ” said the rabbit in his low , drained voice ."
adams1974,rabbit,noun.animal,know,agency,I thought all rabbits knew that . ” “ Do n't be ridiculous .
adams1974,bush,noun.plant,provide,agency,"He knew that Kehaar could not be everywhere and that the bushes and undergrowth provided enough cover , at a pinch , to dodge him ."
adams1974,beast,noun.animal,say,agency,"“ A dirty little beast like Hufsa , ” said Bigwig ."
adams1974,camel,noun.animal,say,agency,"Ah , the gorgeous East ! ' ” ( "" What on earth 's ' camel ? ? ” said Bigwig ."
adams1974,mouse,noun.animal,recognize,both,"The mouse recognized him and sat up , washing his face with his front paws and chattering effusively ."
adams1974,mouse,noun.animal,say,agency,""" "" Is a good a for get about , you know ? ” said the mouse in a familiar tone which made Bigwig shake his ears with irritation ."
adams1974,bird,noun.animal,say,agency,Where did the bird say these new rabbits were ? ” “ ' E say is a come just a now on a morning side .
adams1974,rabbit,noun.animal,do,agency,We wondered what so many rabbits could be doing there and we were going down to see 370 H A Ž EL - RAH when we suddenly came face to face with Campion .
adams1974,rabbit,noun.animal,say,agency,"“ You 're General Woundwort , are n't you ? "" said the rabbit ."
adams1974,rabbit,noun.animal,ask,agency,""" "" And this rabbit , sir , ” asked Campion ."
